config1;config2;config3;config4;config5;config6;config7;config8;config9;config10;config11;config12;config13;config14;config15;config16;config17;config18;config19;config20;config21;config22;config23;config24;config25;config26;config27;config28;config29;config30;config31;config32
-3.955602610657503;-4.075480134431738;-4.110409278624334;-3.997367603008909;-4.099081715220006;-4.096629542049474;-4.082385072670886;-4.099305104869105;-4.034372253319983;-4.10997496286438;-4.081828331707713;-4.109665647313564;-4.061075205692024;-4.066309341177759;-4.113985278899063;-4.107731297725092;-3.6460744527836138;-4.035867241645981;-4.033120586654432;-4.125358437452419;-4.098917975616469;-4.0808897753891795;-4.070968182263622;-4.092858504612483;-4.084991009117364;-4.011772143582985;-4.093536779599858;-4.0354214790906315;-3.970735709023077;-4.015740067594284;-4.125239593382945;-4.097911523374946
-4.127488240747053;-4.0817348742154715;-4.144390908227576;-4.098029386898645;-4.022216271713363;-4.108913633122476;-4.112907706967378;-4.123527594939617;-4.115924154345141;-4.0358114688417315;-4.002338589487555;-4.052801688118224;-4.044190118596068;-4.067210623407876;-4.122073324508415;-4.109715543096009;-4.038519376233414;-4.104788001782445;-4.154176574443416;-4.082732366994505;-4.055814202683731;-4.126009996184801;-4.034286549973682;-4.122776595993282;-4.044087152527123;-4.081045101742449;-4.029603053990068;-4.061711132771606;-4.145201702752259;-4.087587483406965;-4.135092215458301;-4.127071487772963
-4.067316516729147;-4.064804254972196;-4.115517556269387;-4.102974677610958;-4.047531053798686;-4.086359826660061;-4.104768666162683;-4.125687791629004;-4.027597643292705;-4.033691295566517;-3.9974409560463946;-4.058083348198798;-4.068832210615738;-4.084597334229172;-4.116149284440266;-4.12539359541625;-3.8427824054052215;-4.003157589547427;-4.046064751328947;-4.132711887947502;-3.9886319494184357;-4.075676627780923;-4.0870056071363425;-4.149812558850474;-4.025335739811686;-4.077764121371479;-4.112918073713462;-4.013764757694192;-4.0266812707008866;-4.089336166566948;-4.1381921480762935;-4.110072463007889
-3.966337540394897;-4.058193785197461;-4.0521774917343105;-4.107581867099597;-4.082499614791082;-4.136046620288498;-4.15165834023223;-4.113114155318915;-4.105578452679103;-4.136101424319656;-4.074109488183163;-4.098010718209472;-4.020995092988835;-4.12626323988293;-4.126883265634762;-4.107280881044229;-4.107630496806849;-4.051185851245191;-4.11266690792724;-4.036244970059012;-4.03598596867142;-4.081685861707959;-4.126212916794828;-4.047315820821676;-4.028069070499619;-4.118117034706858;-4.076525341377822;-4.064100169913529;-3.970316541928049;-4.127085078692561;-4.060893401347699;-4.127920687788032
-3.9727876104337025;-4.0453550601193005;-4.0202212209132995;-4.096790752077908;-4.017026937510615;-4.123977418597089;-4.104781983275392;-4.103221108498576;-4.055916896817521;-4.028033814703329;-4.115611711840912;-4.074877074121979;-4.091004160851731;-4.11900586584524;-4.116641173981232;-4.138654141498761;-3.861816054345418;-4.0843381912005015;-4.068699929441252;-4.0885312082939125;-4.033541329702797;-4.070918726701077;-4.0518567536755645;-4.096632977450433;-4.068421012635515;-4.044593956243246;-4.048895769777925;-4.077698626898402;-4.072814875684523;-4.028093607780366;-4.0802514647865955;-4.088059643712322
-3.964526081463109;-4.108250952708643;-4.07421754755282;-4.138543842105867;-4.0284184911185115;-4.08045390546992;-4.1232860570624;-4.099078801213364;-4.1548310886236095;-4.136792165408676;-4.150005233586362;-4.069465786086466;-4.012782148088365;-4.142484297504552;-4.021879296855625;-4.114927254294692;-4.127375075231384;-4.041423104881028;-4.119195696411145;-4.0755503751635445;-4.09222825667996;-4.142895108074449;-4.1499221778503115;-4.098960283770645;-4.0107007299418305;-4.0753497858046455;-4.074220969684875;-4.110579329495096;-4.1328039101278105;-4.053352119327808;-4.14791850410733;-4.122635902794087
-4.102698313541504;-4.119386756866787;-3.9842667795628643;-4.112313722694024;-4.149627772626078;-4.107853489479076;-4.106255930618272;-4.145265364129493;-3.7148725015604973;-4.080122794116834;-4.05085567308487;-4.148964196648166;-3.7360081189098486;-4.079081589540261;-4.090056296676945;-4.151917027903107;-4.045418328165654;-4.074706256944224;-4.0663600885586515;-4.11480053951973;-4.099536290098615;-4.043910734688932;-4.0840090284317005;-4.095933744193693;-4.102382833960404;-4.027124522225429;-4.118701777341779;-4.055127026342806;-3.965864005572773;-4.143559270044596;-4.145346710717975;-4.129196910301983
-4.054880597728488;-4.074458893821817;-4.083160561289808;-4.0463129137020974;-3.959053214170046;-4.135794674797686;-4.138028933746569;-4.121703124330368;-4.007141819576602;-4.061333574332742;-4.01560646627094;-4.094944929141987;-4.120916982288859;-4.143239629201137;-4.13967425177117;-4.153091499219603;-4.084263050467621;-4.142766874742506;-3.958000755579077;-4.046589446932903;-4.074352297814324;-4.113647721821313;-4.005567734982444;-4.1341902878756525;-3.9705362529429693;-4.102377348194454;-4.0752911265244665;-4.066474107031371;-4.064013445452877;-4.072537800964091;-4.099342335428959;-4.1199742371910935
-4.017396166225155;-4.05936308084607;-4.147127565649217;-4.029182251839423;-3.9826800002386267;-4.116262484836121;-4.105828485354587;-4.133545778674832;-4.069583341867956;-4.073822816983786;-4.119746369249721;-4.0763074537683766;-4.081655953368315;-4.04791123929437;-4.100614921137493;-4.115458408585874;-4.090279914218825;-4.095430760773256;-3.9967612525931164;-4.0687846809762345;-4.063186185431394;-3.9835783025213827;-3.9920862042353593;-4.0778270087724655;-4.001752879953145;-4.131068285793401;-4.13841368987966;-4.018386358940828;-3.9477996640070785;-4.071836854823646;-4.026967668265829;-4.084943721498587
-4.081014823503486;-4.095235989029396;-4.108186477710948;-4.133054119348994;-4.084582917571096;-4.078836500010773;-4.150178953332118;-4.150323117210387;-4.071156220570445;-4.024383752585295;-4.0629912502054815;-4.027544988951736;-4.020236528453324;-4.0930818643048195;-4.116323450866048;-4.120915165274401;-3.9412142327223334;-4.0215203877980725;-4.009217406279681;-4.1156394958757385;-4.061391933824221;-4.020926432988323;-4.098853576518418;-4.053559890091629;-3.62970849302942;-3.9752739967594843;-4.041925716391167;-4.073692880136453;-4.089980231158713;-4.14220154284702;-4.155090230101776;-4.150459518872613
-4.054536995456809;-4.0635907530963555;-3.989577423112141;-4.070036247079248;-4.031892548641858;-4.10582458438824;-4.117013919776974;-4.134404725344407;-4.035498091018741;-4.099345579720638;-4.137259245037471;-4.059160863387186;-4.032160468404606;-4.105662574769697;-4.055863644209343;-4.089273341748016;-3.993305094798482;-4.049399934251178;-4.023200446974357;-4.093174215254502;-4.056400246014106;-4.0692066738172805;-4.08011165490793;-4.136757464265685;-4.069156764491015;-4.047761875696525;-4.090480023436712;-4.034975433154672;-4.022367869963402;-4.083279524461714;-4.1423045230591065;-4.155733175559462
-4.047786309109304;-4.096862107581083;-4.027167731198122;-4.014787614533218;-4.015484222349288;-4.092988047175889;-4.0917605379157145;-4.115672138247501;-4.101021301432621;-4.1181900851879565;-4.062130144473447;-4.068961377587378;-3.9614196347526316;-4.072382947650216;-4.143718345906903;-4.1008433836905915;-3.9657951768987165;-4.151416869715821;-4.093160831435341;-4.102618579412758;-4.079290644793023;-4.121204483120928;-4.03931462968834;-4.153680252234825;-4.0386081448615245;-3.999049661914603;-4.12324471121935;-4.131703380237669;-4.046519178357339;-4.001306707154319;-4.124736102810724;-4.105569686268436
-4.090689547195674;-4.089349508825399;-4.070627272869172;-4.076567453744476;-3.984588599460156;-4.088541311358581;-4.071068033958903;-4.134868847768849;-4.036623757112305;-4.149087140930652;-4.079712297742856;-4.149118804816844;-4.068695046779635;-4.0788644555679365;-4.100794467099937;-4.099076711822896;-4.113665690043796;-4.113127743004414;-4.130162615254741;-4.022268413859557;-4.007289307718589;-4.077588998450055;-4.105141156792907;-4.097119007173578;-4.138842741902688;-4.128434545765545;-4.070535090255386;-4.093615278574413;-4.06256472245418;-4.059061803416773;-4.129119222637773;-4.096593721584072
-4.060701263359578;-4.097268103074999;-4.027565473361577;-4.068303821541433;-3.9874982712863996;-4.077254952959545;-4.083385012790472;-4.140895201960524;-4.064517051190502;-4.072092866096479;-4.053355722846986;-4.092645721468095;-4.016766101715562;-4.0920067245595915;-4.079397029901236;-4.081333468531199;-4.0070256937259385;-4.094702406980819;-4.064382572827454;-4.041041452555279;-4.045125526502241;-4.148968900185272;-4.078864753821684;-4.1104781159464805;-3.7985120027234287;-4.067905203785602;-3.9867423094806576;-4.094683512783447;-4.053060446151539;-4.090393178873766;-4.074923831698132;-4.143775041845381
-3.919016491805613;-4.145028503644772;-4.012619990218878;-4.079967717084546;-3.991850221290727;-4.1210592453163475;-4.071688349234658;-4.154326977689396;-4.03557667683292;-4.13177675632399;-4.048922116372281;-4.064390252383925;-4.089666912292407;-4.120038302377006;-4.102558384270248;-4.150601837816266;-4.071521899893814;-4.041071199152016;-4.1167172094364615;-4.026845923374835;-4.098729892857143;-4.09151455435238;-4.108618624423578;-4.13422828256133;-4.007442293202497;-4.149459098004785;-3.955049889796368;-4.074287878652497;-4.002878032544065;-4.066437011603028;-4.082130351346164;-4.116029897059151
-4.025623641812168;-4.085477791947412;-4.0845073430279415;-4.057256382702502;-4.017633219998494;-4.116034236696938;-4.058480678129808;-4.127863573529546;-4.076609783119425;-4.0189928458765065;-4.13873463299181;-4.095173405899475;-4.031109234120503;-4.061466290761493;-4.147656511535533;-4.143803197637595;-3.940898431917148;-4.112042387728337;-3.9836341716484402;-4.04981453853048;-4.044675346427543;-4.076513973990427;-3.976209340110314;-4.1329959078442835;-4.114685215376262;-4.1018151039808854;-4.047806431957754;-4.049549731137865;-4.008070593118172;-4.052743166501369;-4.0495444671626615;-4.116709377357693
